Time, Operation, Operation_name, Description
23:21:22.583,getLocalAddress,[peer],Auto-detected peer address: 172.18.0.34:7051
23:21:22.584,getLocalAddress,[peer],Returning peer0.org1.example.com:7051
23:21:22.792,serve,[nodeCmd],Starting peer with TLS enabled
23:21:23.415,New,[gossip.service],Initialize gossip with endpoint peer0.org1.example.com:7051
23:21:23.417,New,[gossip.gossip],Creating gossip service with self membership of Endpoint: peer0.org1.example.com:7051 InternalEndpoint: peer0.org1.example.com:7051 PKI-ID: 5dbec3d64e61f72aeebc31b42279163bc10e4f7c808417a836b9a73b801fe19c Metadata: 
23:21:23.418,start,[gossip.gossip],Gossip instance peer0.org1.example.com:7051 started
23:21:23.423,NewLedgerMgr,[ledgermgmt],Initializing LedgerMgr
23:21:26.419,func1,[gossip.discovery],Could not connect to Endpoint: peer1.org1.example.com:8051 InternalEndpoint: peer1.org1.example.com:8051 PKI-ID: <nil> Metadata:  : context deadline exceeded
23:21:27.904,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
23:21:28.079,NewProvider,[fsblkstorage],Creating new file ledger directory at /var/hyperledger/production/ledgersData/chains/chains
23:21:29.650,openDBAndCheckFormat,[leveldbhelper],DB is empty Setting db format as 2.0
23:21:32.503,CreateDatabaseIfNotExist,[couchdb],Created state database _users
23:21:33.569,CreateDatabaseIfNotExist,[couchdb],Created state database _replicator
23:21:34.335,CreateDatabaseIfNotExist,[couchdb],Created state database fabric__internal
23:21:34.997,NewLedgerMgr,[ledgermgmt],Initialized LedgerMgr
23:21:34.997,InitializeLocalChaincodes,[lifecycle],Initialized lifecycle cache with 0 already installed chaincodes
23:21:34.998,computeChaincodeEndpoint,[nodeCmd],Entering computeChaincodeEndpoint with peerHostname: peer0.org1.example.com
23:21:34.998,computeChaincodeEndpoint,[nodeCmd],Exit with ccEndpoint: peer0.org1.example.com:7052
23:21:35.005,DeploySysCC,[sccapi],deploying system chaincode 'lscc'
23:21:35.005,DeploySysCC,[sccapi],deploying system chaincode 'cscc'
23:21:35.005,DeploySysCC,[sccapi],deploying system chaincode 'qscc'
23:21:35.005,DeploySysCC,[sccapi],deploying system chaincode '_lifecycle'
23:21:35.005,serve,[nodeCmd],Deployed system chaincodes
23:21:35.005,NewService,[discovery],Created with config TLS: true authCacheMaxSize: 1000 authCachePurgeRatio: 0.750000
23:21:35.005,registerDiscoveryService,[nodeCmd],Discovery service activated
23:21:35.005,serve,[nodeCmd],Starting peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
23:21:35.005,serve,[nodeCmd],Started peer with ID=[peer0.org1.example.com] network ID=[dev] address=[peer0.org1.example.com:7051]
23:21:35.006,LoadPreResetHeight,[kvledger],Loading prereset height from path [/var/hyperledger/production/ledgersData/chains]
23:21:35.006,preResetHtFiles,[fsblkstorage],No active channels passed
23:21:35.006,func6,[nodeCmd],Starting profiling server with listenAddress = 0.0.0.0:6060
23:21:35.007,ServerHandshake,[core.comm],TLS handshake failed with error EOF server=PeerServer remoteaddress=172.18.0.33:57084
23:21:46.408,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-18T23:21:48.394Z grpc.peer_address=172.18.0.36:46672 grpc.peer_subject="CN=peer3.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=115.734µs
23:21:46.412,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-18T23:21:56.409Z grpc.peer_address=172.18.0.36:46672 grpc.peer_subject="CN=peer3.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=3.327135ms
23:21:46.417,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-18T23:21:48.417Z grpc.peer_address=172.18.0.36:46674 grpc.peer_subject="CN=peer3.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=103.651µs
23:21:46.438,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-18T23:21:48.437Z grpc.peer_address=172.18.0.32:53734 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=117.586µs
23:21:46.445,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-18T23:21:56.439Z grpc.peer_address=172.18.0.32:53734 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=5.907195ms
23:21:46.448,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-18T23:21:48.448Z grpc.peer_address=172.18.0.32:53736 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=100.06µs
23:21:51.439,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.peer_address=172.18.0.32:53736 grpc.peer_subject="CN=peer1.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=4.989792092s
23:21:52.923,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-18T23:21:54.923Z grpc.peer_address=172.18.0.33:57394 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=104.595µs
23:21:52.930,1,[comm.grpc.server],streaming call completed grpc.service=gossip.Gossip grpc.method=GossipStream grpc.request_deadline=2020-03-18T23:22:02.924Z grpc.peer_address=172.18.0.33:57394 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" error="rpc error: code = Canceled desc = context canceled" grpc.code=Canceled grpc.call_duration=5.54089ms
23:21:52.933,1,[comm.grpc.server],unary call completed grpc.service=gossip.Gossip grpc.method=Ping grpc.request_deadline=2020-03-18T23:21:54.932Z grpc.peer_address=172.18.0.33:57396 grpc.peer_subject="CN=peer2.org1.example.comL=San FranciscoST=CaliforniaC=US" grpc.code=OK grpc.call_duration=87.315µs
23:21:53.624,CreateLedger,[ledgermgmt],Creating ledger [mychannel] with genesis block
23:21:53.660,newBlockfileMgr,[fsblkstorage],Getting block information from block storage
23:21:53.995,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel_
23:21:54.389,CreateDatabaseIfNotExist,[couchdb],Created state database mychannel__lifecycle
23:21:54.849,CommitLegacy,[kvledger],[mychannel] Committed block [0] with 1 transaction(s) in 418ms (state_validation=0ms block_and_pvtdata_commit=100ms state_commit=285ms) commitHash=[]
23:21:54.891,CreateLedger,[ledgermgmt],Created ledger [mychannel] with genesis block
23:21:54.903,JoinChan,[gossip.gossip],Joining gossip network of channel mychannel with 2 organizations
23:21:54.903,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org1MSP for channel mychannel to learn about
23:21:54.903,learnAnchorPeers,[gossip.gossip],No configured anchor peers of Org2MSP for channel mychannel to learn about
23:21:54.909,NewGossipStateProvider,[gossip.state],Updating metadata information for channel mychannel current ledger sequence is at = 0 next expected block is = 1
23:21:54.909,callChaincode,[endorser],finished chaincode: cscc duration: 1296ms channel= txID=b61d9541
23:21:54.910,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.18.0.39:41688 grpc.code=OK grpc.call_duration=1.298992374s
23:22:00.910,beLeader,[gossip.election],5dbec3d64e61f72aeebc31b42279163bc10e4f7c808417a836b9a73b801fe19c : Becoming a leader
23:22:00.910,func1,[gossip.service],Elected as a leader starting delivery service for channel mychannel
23:22:00.910,StartDeliverForChannel,[deliveryClient],This peer will retrieve blocks from ordering service and disseminate to other peers in the organization for channel mychannel
